confusion,count
"('Summarizing', 'Process comments')",1
"('Summarizing', 'examining parallel processes')",1
"('add. countertransference', 'examining parallel processes')",1
"('add. Supervisory dyad', 'Self-disclosing & self-involving disclosures')",1
"('add. Supervisory dyad', 'immediacy')",1
"('add. Supervisory dyad', 'examining parallel processes')",1
"('immediacy', 'Process comments')",1
"('immediacy', 'Other')",1
"('Process comments', 'examining parallel processes')",1
"('examining parallel processes', 'Other')",1
"('add.multicultural issues', 'Other')",1
"('Goal-setting (s) for supervisee', 'Guided experiential learning')",1
"('Goal-setting (s) for supervisee', 'mentalizition')",1
"('Checking knowledge', 'personal share')",1
"('addressing ethical issues', 'Promoting self-assessment')",1
"('Managing\\ Planning', 'examining parallel processes')",1
"('heightening empathy', 'examining parallel processes')",1
"('personal share', 'examining parallel processes')",1
"('mentalizition', 'Process comments')",1
"('Gathering information', 'personal share')",1
"('add.multicultural issues', 'Promoting self-assessment')",1
"('immediacy', 'Being multiculturally responsive')",1
"('add.multicultural issues', 'Guided experiential learning')",1
"('Guided experiential learning', 'Being multiculturally responsive')",1
"('Providing negative feedback', 'Guided experiential learning')",1
"('Checking knowledge', 'add.multicultural issues')",1
"('Checking knowledge', 'Being multiculturally responsive')",1
"('add.multicultural issues', 'add. countertransference')",1
"('addressing ethical issues', 'mentalizition')",1
"('addressing ethical issues', 'immediacy')",1
"('Gathering information', 'Providing negative feedback')",1
"('Promoting self-assessment', 'video observation')",1
"('Providing negative feedback', 'video observation')",1
"('Prom. emotional awareness', 'video observation')",1
"('Guided experiential learning', 'video observation')",1
"('Prom. emotional awareness', 'immediacy')",1
"('Summarizing', 'Providing negative feedback')",1
"('Providing negative feedback', 'Self-disclosing & self-involving disclosures')",1
"('Providing negative feedback', 'mentalizition')",1
"('add.multicultural issues', 'addressing ethical issues')",1
"('Goal-setting (s) for supervisee', 'Providing negative feedback')",1
"('Goal-setting (s) for supervisee', 'Being multiculturally responsive')",1
"('Goal-setting (c) for client', 'Providing negative feedback')",1
"('Providing negative feedback', 'add.multicultural issues')",1
"('Providing negative feedback', 'Being multiculturally responsive')",1
"('immediacy', 'Addressing ethical issues')",1
