,Sum titles,1,,,AR1,2,,,AR1,3,,,AR1,4,,,AR1,5,,,AR1,6,,,AR1,7,,,AR1,8,,,AR1,9,,,AR1,10,,,AR1,11,,,AR1,12,,,AR1,13,,,AR1,14,,,AR1,15,,,AR1,16,,,AR1,17,,,AR1,18,,,AR1,19,,,AR1,20,,,AR1,21,,,AR1,22,,,AR1,23,,,AR1,24,,,AR1,25,,,AR1,26,,,AR1,27,,,AR1,28,,,AR1,29,,,AR1,30,,,AR1,31,,,AR1,32,,,AR1,33,,,AR1,34,,,AR1,35,,,AR1,36,,,AR1,37,,,AR1,38,,,AR1,39,,,AR1,40,,,AR1,41,,,AR1,42,,,AR1,43,,,AR1,44,,,AR1,45,,,AR1,46,,,AR1,Sum titles,count0,count1,count2,count3,,
,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,,,,,,,
1,Managing\ Planning,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,1,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,1,3,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,1,3,,,1,1,,,,0,,,,0,,,,0,,,,0,,1,1,2,,,,0,,,,0,1,1,1,3,1,1,1,3,Managing\ Planning,34,1,1,10,,
2s,Goal-setting (s) for supervisee,,,,0,,,,0,,,,0,,,,0,,,,0,1,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,Goal-setting (s) for supervisee,44,2,0,0,,
2c,Goal-setting (c) for client,,,,0,,,,0,,,,0,,,,0,,,,0,1,,,1,,,,0,1,1,1,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,,1,2,1,,,1,,,,0,,,1,1,,,,0,1,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,,,1,,,1,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,Goal-setting (c) for client,38,6,1,1,,
3,Acknowledging,,,,0,,,,0,1,1,1,3,1,,1,2,,,,0,,,,0,,,,0,,,,0,,,,0,1,,1,2,1,,1,2,1,,1,2,,,,0,,,1,1,1,,1,2,,,1,1,,,,0,,,,0,,,,0,1,,1,2,,,,0,,,,0,,,,0,,,1,1,1,,,1,1,,1,2,,,,0,1,,1,2,,,1,1,,,,0,,1,1,2,,,1,1,1,1,1,3,,,,0,,,,0,1,,,1,1,,1,2,1,1,,2,,,,0,1,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,1,,,1,Acknowledging,24,9,11,2,,
4,Gathering information,,,,0,,,,0,,,,0,,,,0,1,,1,2,,,,0,,,,0,,,,0,1,1,1,3,1,1,1,3,1,,1,2,,,1,1,,,,0,,,1,1,,,,0,,,,0,,,,0,,,,0,1,,,1,1,1,,2,,,,0,,,,0,1,1,1,3,,,,0,,,,0,1,1,1,3,,,,0,1,1,1,3,,,,0,,,1,1,,,,0,1,,1,2,,,,0,,,,0,,,,0,,1,,1,,,,0,,,1,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,Gathering information,31,6,4,5,,
5,Summarizing,,,,0,1,,,1,,,,0,1,1,1,3,1,,1,2,,,,0,1,1,,2,,,,0,1,,1,2,,1,,1,1,1,,2,,,,0,,,,0,,1,,1,,,,0,,,,0,,,,0,,,,0,1,,,1,,,,0,,,,0,1,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,,,1,1,,,1,,,1,1,,,1,1,1,,,1,,,,0,,,,0,,,1,1,,1,,1,,,,0,,,,0,,,1,1,,,,0,,,,0,,,,0,,,,0,,1,,1,,,,0,Summarizing,27,14,4,1,,
6,Supporting,1,,1,2,1,,,1,1,,,1,1,,1,2,1,1,,2,1,1,1,3,1,1,,2,1,,,1,,,,0,,,,0,,,,0,1,,,1,1,1,1,3,1,,,1,1,,,1,1,,1,2,1,1,1,3,1,,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,3,1,1,1,3,1,,1,2,,,,0,1,,,1,1,1,1,3,1,,1,2,1,1,1,3,1,1,1,3,,,,0,1,,,1,,,,0,,,,0,1,,1,2,1,,1,2,1,,,1,1,1,1,3,1,1,,2,1,,,1,,,,0,,,,0,,,,0,,,,0,,,1,1,1,1,1,3,Supporting,11,11,14,10,,
7+,Providing positive feedback,1,1,,2,1,1,1,3,1,1,1,3,1,,,1,,,,0,1,,,1,1,1,1,3,,1,1,2,,,,0,,,,0,,,,0,,,,0,1,1,1,3,,,,0,,,,0,,,1,1,1,1,,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,,1,2,,,,0,,,,0,,,,0,1,1,,2,1,,,1,1,,,1,,1,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,1,3,,,,0,Providing positive feedback,30,6,5,5,,
7-,Providing negative feedback,,,,0,1,,,1,,,,0,,,,0,,,,0,1,,1,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,Providing negative feedback,44,1,1,0,,
