,Sum titles,1,,,AR1,2,,,AR1,3,,,AR1,4,,,AR1,5,,,AR1,6,,,AR1,7,,,AR1,8,,,AR1,9,,,AR1,10,,,AR1,11,,,AR1,12,,,AR1,13,,,AR1,14,,,AR1,15,,,AR1,16,,,AR1,17,,,AR1,18,,,AR1,19,,,AR1,20,,,AR1,21,,,AR1,22,,,AR1,23,,,AR1,24,,,AR1,25,,,AR1,26,,,AR1,27,,,AR1,28,,,AR1,29,,,AR1,30,,,AR1,31,,,AR1,32,,,AR1,33,,,AR1,34,,,AR1,35,,,AR1,36,,,AR1,37,,,AR1,38,,,AR1,39,,,AR1,40,,,AR1,41,,,AR1,42,,,AR1,43,,,AR1,44,,,AR1,Sum titles,count0,count1,count2,count3,,,
,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,J,B,M,,,,,,,,,
1,Managing\ Planning,1,1,1,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,,1,2,,,,0,Managing\ Planning,38,4,1,1,,,
2s,Goal-setting (s) for supervisee,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,,1,2,,,,0,,,,0,,,,0,,,,0,,1,1,2,,,,0,Goal-setting (s) for supervisee,42,0,2,0,,,
2c,Goal-setting (c) for client,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,1,1,,,1,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,Goal-setting (c) for client,42,2,0,0,,,
3,Acknowledging,,,,0,1,1,1,3,1,,1,2,1,1,1,3,,,1,1,,1,1,2,,,,0,1,1,1,3,,,1,1,,,1,1,1,,1,2,,,1,1,1,1,1,3,,,,0,,,1,1,,,,0,,,,0,1,1,1,3,,1,,1,,1,,1,1,1,1,3,1,,1,2,1,1,1,3,1,,,1,1,1,1,3,,,,0,,,,0,,,1,1,1,1,1,3,,,,0,,,1,1,,,,0,1,,1,2,,,,0,,,,0,,,,0,,,1,1,,,,0,1,,1,2,,,1,1,1,,1,2,,,1,1,,,,0,,,,0,Acknowledging,15,13,7,9,,,
4,Gathering information,1,1,1,3,1,1,1,3,,,,0,,,,0,,,,0,,,,0,,,,0,1,,1,2,1,1,,2,1,,,1,,,,0,1,1,1,3,,,,0,,,,0,,,,0,,,,0,1,1,1,3,1,,,1,,,,0,,,,0,,,,0,1,,1,2,,1,1,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,,1,2,,,,0,,,,0,,,,0,,,,0,,,,0,1,,,1,1,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,Gathering information,31,4,5,4,,,
5,Summarizing,1,,1,2,,,,0,,,,0,1,1,1,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,,,1,,,,0,1,1,1,3,1,,,1,,,,0,,,,0,1,1,1,3,,,,0,,,,0,1,,,1,1,,,1,1,,1,2,,,,0,,,,0,,1,1,2,1,,,1,1,,,1,,,,0,,,,0,1,,1,2,1,,1,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,,2,,,,0,Summarizing,29,6,6,3,,,
6,Supporting,,,,0,,,,0,,,,0,1,,,1,,1,,1,1,,,1,,,,0,,,,0,1,1,,2,1,1,1,3,1,1,,2,,,,0,1,1,,2,,,,0,1,1,,2,1,,,1,,,,0,1,1,1,3,1,,,1,,,1,1,1,1,,2,1,,1,2,1,,1,2,1,1,,2,,,,0,,,,0,,,1,1,1,1,,2,1,1,1,3,1,,,1,1,1,,2,,,,0,1,1,,2,,,,0,,,,0,1,1,1,3,1,1,,2,,,,0,1,1,,2,1,,1,2,1,1,1,3,1,1,1,3,1,,1,2,1,1,1,3,Supporting,14,8,15,7,,,
7+,Providing positive feedback,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,1,3,,,,0,1,1,1,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,1,3,,,,0,,1,,1,,,,0,,,,0,Providing positive feedback,40,1,0,3,,,
7-,Providing negative feedback,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,Providing negative feedback,44,0,0,0,,,
8,Checking knowledge,,,,0,,,,0,,,1,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,1,1,3,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,1,1,1,,2,,,,0,,,,0,,1,1,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,Checking knowledge,39,2,2,1,,,
9,Challenging,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,,,1,1,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,1,,,,0,,,,0,,,,0,,,,0,Challenging,41,3,0,0,,,
9a,heightening empathy,,,,0,,,,0,1,1,,2,,,1,1,,,,0,1,1,,2,,,,0,,,,0,,,,0,1,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,1,1,2,,,,0,,1,,1,,,,0,,,,0,,1,1,2,,1,,1,1,1,1,3,1,1,,2,,,,0,,,,0,,,,0,,,,0,1,1,,2,,,,0,,,,0,,,,0,,,,0,,,,0,1,,,1,,,,0,1,,,1,,,,0,,,,0,,,,0,,,,0,heightening empathy,31,6,6,1,,,
10,"Teaching (explaining, informing, instructing)",,,,0,,,,0,,,,0,,,,0,,,,0,,,1,1,,,,0,,,,0,,,,0,,,1,1,,,,0,1,,1,2,,,,0,,,,0,,,,0,1,1,,2,,,,0,,,,0,1,,1,2,,,,0,1,,1,2,,,,0,,,,0,,,1,1,,,1,1,1,,,1,,,1,1,,,,0,,,,0,1,,,1,1,1,1,3,,,1,1,,,,0,1,1,1,3,1,1,1,3,1,1,1,3,,,,0,1,1,1,3,,,,0,1,,1,2,,,,0,,,,0,1,1,1,3,,,,0,"Teaching (explaining, informing, instructing)",25,8,5,6,,,
10a,add.multicultural issues,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,1,,1,,,,0,,,,0,1,,1,2,,,,0,1,,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,add.multicultural issues,41,2,1,0,,,
10b,addressing ethical issues,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,addressing ethical issues,44,0,0,0,,,
